Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
74HC595,,SOIC-16_3.9x9.9mm_P1.27mm,213.180415,-145.408046,0,bottom
D1,,ComboDiode,115.607534,-145.082705,98.0,bottom
D2,,ComboDiode,117.973475,-128.24814,98.0,bottom
D3,,ComboDiode,120.339432,-111.413586,98.0,bottom
D4,,ComboDiode,136.690922,-136.393044,101.0,bottom
D5,,ComboDiode,140.225428,-119.764523,101.0,bottom
D6,,ComboDiode,143.759925,-103.136009,101.0,bottom
D7,,ComboDiode,157.110409,-132.960591,104.0,bottom
D8,,ComboDiode,161.510334,-116.539855,104.0,bottom
D9,,ComboDiode,165.910262,-100.11911,104.0,bottom
D10,,ComboDiode,173.397099,-141.724514,104.0,bottom
D11,,ComboDiode,177.797006,-125.303775,104.0,bottom
D12,,ComboDiode,182.196942,-108.883038,104.0,bottom
D13,,ComboDiode,190.266115,-148.315117,104.0,bottom
D14,,ComboDiode,194.66604,-131.894385,104.0,bottom
D15,,ComboDiode,199.065968,-115.473643,104.0,bottom
D16,,ComboDiode,165.436858,-159.26183,104.0,bottom
D17,,ComboDiode,183.23213,-167.13001,115.0,bottom
D18,,ComboDiode,199.390737,-177.96877,125.0,bottom
D19,,ComboDiode,325.607321,-142.995101,82.0,bottom
D20,,ComboDiode,323.241374,-126.160541,82.0,bottom
D21,,ComboDiode,320.875425,-109.325986,82.0,bottom
D22,,ComboDiode,304.34212,-133.274365,79.0,bottom
D23,,ComboDiode,300.807615,-116.645847,79.0,bottom
D24,,ComboDiode,297.273109,-100.017342,79.0,bottom
D25,,ComboDiode,283.739317,-129.07831,76.0,bottom
D26,,ComboDiode,279.339379,-112.657563,76.0,bottom
D27,,ComboDiode,274.93946,-96.236831,76.0,bottom
D28,,ComboDiode,267.452635,-137.842241,76.0,bottom
D29,,ComboDiode,263.052702,-121.421494,76.0,bottom
D30,,ComboDiode,258.652781,-105.000762,76.0,bottom
D31,,ComboDiode,250.583601,-144.432826,76.0,bottom
D32,,ComboDiode,246.183678,-128.012094,76.0,bottom
D33,,ComboDiode,241.783761,-111.59134,76.0,bottom
D34,,ComboDiode,275.412856,-155.379547,76.0,bottom
D35,,ComboDiode,256.723312,-160.790731,65.0,bottom
D36,,ComboDiode,239.257376,-169.365131,55.0,bottom
FPC1,Conn_01x12_Female,FPC-SMD_FPC05012-09200-.5mm-rev,213.180406,-132.987312,0.0,bottom
T1,,SPDT_C128955,213.180418,-184.697806,180.0,bottom
