Comment,Designator,Footprint,LCSC
DFU,BOOT1,SW_SPST_TL3342,C115351
4.7n,C10,C_0402_1005Metric,C1538
10uF,C8,C_0603_1608Metric,C19702
USB_C,J1,Molex-216990_GCT-USB45xx_HRO-TYPE-C-31-M-13x,C223906
27R,"R3,R4",R_0603_1608Metric,C25190
10k,R5,R_0402_1005Metric,C25744
5.1k,"R1,R2",R_0402_1005Metric,C25905
1M,R6,R_0402_1005Metric,C26083
CIRQUE,J2,FPC-SMD_FPC05012-09200-.5mm-rev,C2911838
MountingHole,"H1,H2,H3,H4,H5,H6,H7,H8",MountingHole_M2_Pad_NonPTH_TopOnly,C2916384
100nF,"C3,C4,C5,C6,C7,C9",C_0402_1005Metric,C307331
1uF,"C1,C2",C_0402_1005Metric,C52923
XC6206,U3,SOT-23,C5446
500mA,F1,Fuse_1206_3216Metric,C70076
1N4148W,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D4,D5,D6,D7,D8,D9",D_SOD-123,C81598
STM32F072CBT6,U1,LQFP-48_7x7mm_P0.5mm,C81720
SRV05-4,U2,SOT-23-6-routable,C85364
